City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Katsuura,JP,83.39,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
371,Borba,BR,74.84,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
376,Innisfail,AU,74.16,few clouds,-17.5333,146.0333,Moondarra Motel
381,Tambovka,RU,83.26,moderate rain,50.0969,128.0489,Lyzhnaya Gorka
382,Buluang,PH,87.49,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
383,Port Lavaca,US,85.98,scattered clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
384,Kahului,US,79.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
387,Junnar,IN,74.62,overcast clouds,19.2,73.8833,Hotel Anand
388,Dongsheng,CN,77.45,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
390,Zhezkazgan,KZ,80.58,clear sky,47.8043,67.7144,Hotel Zumrat
395,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
397,Minudasht,IR,74.77,scattered clouds,37.2289,55.3747,هتل قصر
403,Ugoofaaru,MV,82.18,overcast clouds,5.6667,73.0,Ungoofaaru Inn
404,Atlantic City,US,72.99,overcast clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
407,Charters Towers,AU,76.23,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
408,Muzaffarabad,PK,80.53,overcast clouds,34.37,73.4711,Pearl Continental Muzaffarabad
409,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
410,Palasa,IN,86.74,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
411,Marawi,PH,80.69,scattered clouds,7.9986,124.2928,Derogongan Residence
413,Kapoeta,SS,74.35,overcast clouds,4.7717,33.5903,Eastgate Hotel
414,Atbasar,KZ,75.11,broken clouds,51.8,68.3333,Astana Marriott Hotel
417,Mangaldai,IN,85.44,broken clouds,26.4333,92.0333,Hotel Siddarth Palace
