City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
51,Fonte Boa,BR,2022-07-29 02:54:57,-2.4959,-66.2662,77.77,76,96,1.07,overcast clouds,0.0,0.0
52,Bridgton,US,2022-07-29 02:54:58,44.0548,-70.7128,71.26,89,100,3.09,overcast clouds,0.0,0.0
53,Wonthaggi,AU,2022-07-29 02:54:58,-38.6044,145.5913,54.82,52,21,8.81,few clouds,0.0,0.0
54,Chuy,UY,2022-07-29 02:51:23,-33.6971,-53.4616,49.5,79,100,15.46,overcast clouds,0.0,0.0
55,Urumqi,CN,2022-07-29 02:54:58,43.801,87.6005,83.35,28,0,4.47,clear sky,0.0,0.0
56,Pangnirtung,CA,2022-07-29 02:51:59,66.1451,-65.7125,49.14,77,85,1.12,overcast clouds,0.0,0.0
57,Saint George,US,2022-07-29 02:48:11,37.1041,-113.5841,86.59,56,100,11.5,light rain,0.0,0.0
58,Barrow,US,2022-07-29 02:51:33,71.2906,-156.7887,35.62,93,100,16.11,mist,0.0,0.0
59,Bandar-E Anzali,IR,2022-07-29 02:54:59,37.4727,49.4622,73.51,75,100,5.08,light rain,0.0,0.0
60,High Level,CA,2022-07-29 02:53:27,58.5169,-117.136,71.71,68,75,16.11,smoke,0.0,0.0
61,Shiraz,IR,2022-07-29 02:54:59,29.6036,52.5388,71.04,78,75,0.0,broken clouds,0.0,0.0
62,Taoudenni,ML,2022-07-29 02:55:00,22.6783,-3.9836,102.96,14,88,7.27,overcast clouds,0.0,0.0
63,Boyolangu,ID,2022-07-29 02:55:00,-8.1181,111.8935,80.17,72,98,7.14,overcast clouds,0.0,0.0
64,Maniitsoq,GL,2022-07-29 02:55:00,65.4167,-52.9,41.02,95,100,8.19,light rain,0.0,0.0
65,Port Elizabeth,ZA,2022-07-29 02:51:07,-33.918,25.5701,63.32,68,0,3.44,clear sky,0.0,0.0
66,Bratsk,RU,2022-07-29 02:55:01,56.1325,101.6142,59.49,99,100,7.76,moderate rain,0.0,0.0
